	max_occurrence	max_field	in_fields	not_in_fields	rel_013D a	rel_013E a	rel_013F a	rel_032@ a	rel_032W a	rel_041A a	rel_041A g	rel_044K a	rel_044K g	rel_044L a	rel_044N a	rel_044S a	rel_044Z a	rel_045D a	rel_045Q j
Kawja	9.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								1.8e-05							
Kettenmärchen	2.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-06		4e-06							
Ḫarǧa	26.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						6.3e-05		5.2e-05							
Kinderlyrik	3489.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.002779		0.00702		0.001948	0.000145				
Kinderreim	2102.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.00379		0.00423		0.001487	0.000254				
Kinderwitz	57.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						6.3e-05		0.000115		0.000103	1.8e-05				
Klagelied	98.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						0.000195		0.000197		0.001641					
Knittelvers	8.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						1.4e-05		1.6e-05		5.1e-05					
Kolonialroman	18.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						5.6e-05		3.6e-05		0.000103	5.4e-05				
Kolportageliteratur	61.0	044S a	['041A a', '044K a', '044L a', '044S a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044Z a', '045D a', '045Q j']						1.4e-05		3.4e-05		5.1e-05		0.002686			
Komische Literatur	51.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						0.000202		0.000103		0.000103					
Kreuzfahrerlied	21.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						6.3e-05		4.2e-05							
Kriegserzählung	30.0	044K a	['041A a', '044K a', '044L a', '044N a', '044Z a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '045D a', '045Q j']						4.9e-05		6e-05		5.1e-05	9.1e-05		0.001258		
Kriminalgeschichte	563.0	044K a	['041A a', '041A g', '044K a', '044K g', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '044S a', '044Z a', '045D a', '045Q j']						0.003748	7.5e-05	0.001133	6.6e-05	0.002153	0.00205				
Kriminalliteratur	645.0	044K a	['041A a', '044K a', '044L a', '044N a', '044Z a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '045D a', '045Q j']						0.002076		0.001298		0.00123	0.000218		0.007547		
Kriminalnovelle	36.0	044L a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-05		3.2e-05		0.001846					
Kriminalspiel	2.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								4e-06							
Kunstlegende	6.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						3.5e-05		1.2e-05							
Lai narratif	4.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								8e-06							
Legendenlied	3.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-06		6e-06							
Legendenspiel	1.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								2e-06							
Lehrgedicht	1139.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						0.000167		0.002292		0.000205					
Lesedrama	16.0	041A a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						0.000111		2.6e-05		5.1e-05					
Liebesroman	155.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.000341		0.000312		0.000769	0.001868				
Limerick	52.0	044K a	['041A a', '044K a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044S a', '044Z a', '045D a', '045Q j']						0.000111		0.000105			3.6e-05				
Loa	6.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						2.8e-05		1.2e-05		5.1e-05					
